,姓名,性别,职称,医院,一级科室,二级科室,简介
17,马文江,男,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"检查,危重症,救治,胸腔镜,内科,疑难病,诊治,介入"
18,周建娅,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"鉴别,诊疗,诊断,纤支镜,肺癌,熟练掌握,个体化,治疗"
19,孙翠如,女,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"内科,老年,常见疾病,老年病,呼吸,保健"
20,潘志杰,男,主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"呼吸,呼吸机,障碍,支气管镜,疾病,纤维,诊治,睡眠"
21,朱旗,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"内科,基础,疾病,临床,呼吸,研究"
22,杨光叠,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"诊断,肺病,疾病,早期,个体化,鉴别,擅长,肺部"
23,周华,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"疑难,个体化,危重,肺癌,肺部,疾病,感染性,擅长"
24,王晴,女,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"疾病,精准,炎症,肺,诊断,早期,治疗,气道"
25,章建立,男,副主任医师,浙江大学医学院附属第一医院,内科,呼吸内科,"呼吸系统,诊治,抢救,危重症,咳嗽,哮喘,疾病,肿瘤"
26,薛居芝,女,副主任医师,浙江大学医学院附属第一医院,内科,老年心脑血管疾病,"心脑血管,老年,诊治"
27,李成江,男,主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"病变,机制,发病,血管,治疗,糖尿病"
28,叶丹(内),女,主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"糖尿病,甲状腺,并发症,擅长,功能,诊治"
29,张哲(内),女,主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"发病,机制,并发症,治疗,糖尿病"
30,董凤芹,女,主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"发病,机制,并发症,治疗,糖尿病"
31,张小英,女,副主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"发病,机制,并发症,治疗,糖尿病"
32,沈建国,男,主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"发病,研究,机制,疾病,综合征,甲状腺,代谢,防治"
33,陈国萍,女,副主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"疾病,并发症,代谢,甲状腺,糖尿病,内分泌,肾上腺,治疗"
34,冯云飞,男,副主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"疾病,糖尿病,并发症,代谢,肾上腺,甲状腺,内分泌科,擅长"
35,周伟斌,男,副主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"疾病,甲状腺,代谢,内分泌,方面,糖尿病,肾上腺"
36,周华丽,女,副主任医师,浙江大学医学院附属第一医院,内科,内分泌内科,"糖尿病,疾病,甲状腺,功能,擅长,电解质,垂体,肾上腺"
37,卢震亚,女,副主任医师,浙江大学医学院附属第一医院,内科,普内科,"诊治,系统疾病,病变,病人,脏器,危重病,人,疑难病"
38,李德强,男,副主任医师,浙江大学医学院附属第一医院,内科,普内科,"疾病,性生理,糖尿病,性心理,心脑血管,康复,肿瘤,失眠症"
39,任菁菁,女,主任医师,浙江大学医学院附属第一医院,内科,全科门诊,"疾病,慢性病,待查,全科,分化,诊治,擅长,咨询"
40,朱雄超,男,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"疾病,脑血管,帕金森病"
41,李霞,女,主任医师,浙江大学医学院附属第一医院,内科,神经内科,"神经,理性,临床,疼痛,头痛,重症,脑血管病,疾病"
42,罗本燕,女,主任医师,浙江大学医学院附属第一医院,内科,神经内科,"学,基础,临床,神经内科,研究"
43,张艳艳,女,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"临床,神经科,诊断,测定,治疗,心理学,神经,脑血管病"
44,袁圆,女,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"帕金森病,诊断,神经,临床,变,脑血管病,性病,擅长"
45,郑旭宁,男,主任医师,浙江大学医学院附属第一医院,内科,神经内科,"脑血管病,诊断,失眠症,疾病,神经科,疑难,帕金森病,处理"
46,梁辉,男,主任医师,浙江大学医学院附属第一医院,内科,神经内科,"相关,临床,并发症,影像,诊治,神经,脑卒中,研究"
47,柯青,女,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"神经,病,肌肉,擅长,诊治"
48,王康,男,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"癫痫,少见,诊治,疑难,术前,神经系统,评估,擅长"
49,彭国平,男,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"临床,神经内科,从事,毕业,浙江大学,医学院,获,医学"
50,张侃,男,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"神经,临床,疾病,疑难杂症,神经科,障碍,睡眠,头晕"
51,唐敏,女,副主任医师,浙江大学医学院附属第一医院,内科,神经内科,"肉毒素,肌张力,障碍,神经痛,顽固性,诊治,痉挛,头痛"
52,林维勤,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"慢性肾炎,难治性"
53,彭文翰,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"精准,肾脏病,治疗,疑难,iga,肾病,个体化,诊治"
54,韩飞,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾病,肾移植,腹透,免疫,综合征,血管炎,狼疮,紫癜"
55,王苏娅,女,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾移植,肾脏病,随访,擅长,红斑狼疮,移植,肾病"
56,田炯,女,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾病,预防,内科,综合症,结石,尿路,治疗,iga"
57,黄洪锋,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾脏病,移植,肾移植,替代,相关,并发症,肾脏,治疗"
58,张萍,女,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"诊治,肾移植,血液,通路,透析,血管,并发症,肾病"
59,王逸民,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"衰竭,肾移植,透析,临床,治疗,擅长,肾脏病,肾功能"
60,蒋华,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"终末期,建立,肾病,通路,治疗,血管,净化,血液"
61,李恒,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"治疗,肾小球,肾病,免疫性,综合征,少见,肾脏病,擅长"
62,陈伊伦,女,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾脏病,慢性肾炎,肾炎,性,肾病,综合征,紫癜,尿路感染"
63,吴建永,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"机理,损伤,致力于,肾移植,生存率,提高,灌注,研究"
64,张晓辉,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾炎,透析,尿毒症,腹膜,患者,肾小球,治疗"
65,程军,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"结合,综合征,治疗,肾病,iga,中西医,方面,肾功能"
66,李夏玉,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾病,常见病,结合,难治性,中西医,肾内科,疑难杂症,诊治"
67,李群,女,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"领域,主持,获,科技进步,浙江省,开拓性,先后,意义"
68,王仁定,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"疑难,肾病,肾脏病,系统性,移植,肾脏,诊治,损害"
69,陈江华,男,主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"临床,技术,肾脏,基础,研究,肾小球,疾病,净化"
70,吕蓉,女,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"肾小球,疾病,随访,管理,擅长,诊治,肾功能,患者"
71,陈大进,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"高尿酸,诊治,血症,临床,擅长,肾移植,肾脏病,科研工作"
72,瞿立辉,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"术后,肾脏病,诊断,肾移植,处理,治疗,尿毒症,并发症"
73,杨浩,男,副主任医师,浙江大学医学院附属第一医院,内科,肾脏病,"建立,血透,肾移植,疾病,血液,相关,透析,血管"
74,陈春晓,女,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"肠病,肿瘤,克罗恩,早期,病,消化系统,溃疡性,结肠炎"
75,姜玲玲,女,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"脂肪性,胃肠病,小肠,酒精性,肝病,功能性,疾病"
76,徐萍,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"诊治,基础,螺杆菌,临床,疾病,消化系,消化科,肿瘤"
77,厉有名,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"疾病,肝病,内镜,酒精性,诊断,治疗,消化道,脂肪性"
78,章宏,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"炎症性,机理,肠病,发病,胃癌,治疗"
79,虞朝辉,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"疾病,消化系,诊治"
80,张冰凌,女,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"炎症性,检查和,肠病,病变,小肠,消化性,溃疡,胃炎"
81,王开明,女,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"消化系统,基础,疾病,临床,内科,研究"
82,陈韶华,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"治疗,脂肪性,胃,病,食管,反流,擅长,肝病"
83,向荣成,女,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"疾病,动力性,胃肠道,功能性,胃肠"
84,陈李华,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"疾病,出血,内镜,消化道,检查和,不明,原因,治疗"
85,王杭勇,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"胃肠功能,性疾病"
86,许国强,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"研究,内镜,诊断,治疗,胆固醇,局部,淋巴瘤,病"
87,项尊,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"胃炎,肠镜,肝硬化,内窥镜,急性,诊断,胰腺炎,相关"
88,陈卫星,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"肝病,内镜,脂肪肝,消化,酒精性,技术"
89,季峰,男,主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"内镜,消化道,治疗,胃底,通路,肿瘤,切除,静脉曲张"
90,陈洪潭,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"疾病,肿瘤,内镜,消化系,疑难,诊治,超声,消化道"
91,李岚,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"炎症性,重症,肠病,急症,胃肠道,消化系,肿瘤,诊断"
92,周宁,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"诊治,消化系统,疑难杂症,消化,内镜,擅长"
93,李霖,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"治疗,疾病,消化道,内镜,检查,动力,检测,胃肠"
94,杜娟,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"胃肠病,炎症性,肠病,功能性,诊断,返流性,食管炎,内镜"
95,金希,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"诊断,脂肪性,消化性,消化道,超声,疾病,肝病,胃肠病"
96,单国栋,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"消化科,诊断,领域,内镜,疾病,消化,诊治,擅长"
97,乐敏,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"食管炎,胃癌,早期,返流性,肠病,诊断,炎症性,擅长"
98,徐承富,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"炎症性,疾病,消化,肠病,胃肠病,功能性,脂肪性,肝病"
99,张雪群,女,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"消化性,疑难病,溃疡,常见病,胃,消化系统,食管,肿瘤"
100,沈哲,男,副主任医师,浙江大学医学院附属第一医院,内科,消化道内科,"大学,内镜,胃,反流,食管,消化性,诊断,国家"
101,朱建华,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"发病,介入,机理,临床,研究,冠心病,治疗"
102,高丹忱,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高血压,心脏,心力衰竭,冠心病,神经功能,擅长,诊治"
103,郑良荣,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"起搏,心电,心脏,生理"
104,张磊,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高血压,临床,高脂血症,基础,心力衰竭,冠心病,研究"
105,姚雪艳,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高血脂,临床,冠心病,基础,心律失常,心衰,高血压,研究"
106,严卉,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"内科,诊治,治疗,冠心病,心血管,心律失常,擅长,常见病"
107,章黎苹,女,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"药物,心律失常,内科,疑难病,常见病,高血压,治疗,心血管"
108,来江涛,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"诊治,心血管,冠心病,顽固性,系统,介入,疑难,性疾病"
109,赵莉莉,女,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"基础,临床,冠心病,研究"
110,王战坤,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"疾病,治疗,冠心病,高血压,康复,心肌病,心律失常,高血脂"
111,金争鸣,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"冠心病,高血压,心力衰竭"
112,陶谦民,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"治疗,内科,临床,包括,高血压,心力衰竭,心律失常,介入"
113,刘忠,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"冠心病,临床,心力衰竭,基础,心肌病,心律失常,高血压,治疗"
114,胡申江,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"心力衰竭,高血压病"
115,张芸,女,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"免疫学,灌注,保护,硬化,机制,冠状动脉,心肌缺血"
116,陈君柱,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"祖细胞,肺动脉,移植,特发性,治疗,内皮,高压"
117,韩阳,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"疾病,研究,分析,因素,脑血管,心脑血管,危险,诊断"
118,谢旭东,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"内科,方面,临床,诊治,教学,心律失常,工作,心力衰竭"
119,郭晓纲,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"介入,药物,康复,心力衰竭,治疗,高血压,冠心病,调整"
120,黄朝阳,男,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"心脏病,心律失常,心肌病,高血压病,冠状动脉,硬化性,心力衰竭"
121,王兴祥,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"治疗,室速,心律失常,介入性,房扑,诊断,房颤,包括"
122,尚云鹏,男,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"冠脉,高压,介入,肺动脉,高血压,冠心病,治疗"
123,戚东升,男,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"诊疗,心血管,内科,常见病,疑难杂症,教育,方面,临床经验"
124,张芙荣,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"基础,临床,冠心病,研究"
125,胡晓晟,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高脂血症,临床,心律失常,基础,高血压,研究"
126,王锡田,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高血压,临床,冠心病,基础,心律失常,研究"
127,杨云梅,女,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"机制,生态,代谢性,微,疾病,肠道,发病,群"
128,张力,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"介入,诊治,冠心病,心血管,分流,心脏病,性,支架"
129,陈鹏,男,主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"疾病,心血管,治疗,药物,心脏病,诊断,合并,擅长"
130,朱伟国,男,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"介入,综合,手术,心衰,高血压,瓣膜病,心脏,高血脂"
131,张必祺,男,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"介入,药物,先天性,心脏病,治疗,心律失常"
132,李闪,女,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"高血压,诊治,综合,冠心病,房颤,心力衰竭,擅长,心血管"
133,王齐齐,女,副主任医师,浙江大学医学院附属第一医院,内科,心血管内科,"心房颤动,冠心病,擅长,心力衰竭,管理"
134,蔡真,女,主任医师,浙江大学医学院附属第一医院,内科,血液病、多发性骨髓瘤,"诊断,血液,淋巴瘤,多发性,系统疾病,骨髓瘤,恶性,白血病"
135,孟海涛,男,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"诊治,淋巴瘤,病人,缓解,白血病,疾病,方面,恶性"
136,谢万灼,男,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"恶性,治疗,淋巴瘤,造血,多发性,干细胞,骨髓瘤,移植"
137,徐伟来,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"血液,疾病,擅长,系统,恶性,诊治"
138,何静松,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"疾病,干细胞,诊治,造血,包括,血液,系统,恶性"
139,魏国庆,男,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"治疗,恶性,淋巴瘤,多发性,骨髓瘤,干细胞,血液病,造血"
140,娄引军,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"系统,恶性,多发性,淋巴瘤,深入研究,积累,临床实践,经验"
141,毛莉萍,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"常见病,恶性,血液病,疑难病,诊治,擅长,血液科"
142,俞文娟,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"白血病,血小板,免疫性,贫血,纤维化,多发性,真性,淋巴瘤"
143,叶琇锦,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"干细胞,系统,恶性,造血,包括,疾病,临床,研究"
144,佟红艳,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"骨髓,骨髓瘤,恶性,淋巴瘤,多发性,擅长,急性,白血病"
145,韦菊英,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"出,凝血,治疗,骨髓,白血病,淋巴瘤,恶性,综合征"
146,孙洁,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"淋巴瘤,系统性,白血病,淀粉样变"
147,金洁,女,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"血液病,研究,新药,治疗,作用,靶向,机制,基础"
148,麦文渊,男,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"细胞,疾病,凋亡,凝血,分化,出,肿瘤,治疗"
149,孟筱坚,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"肿瘤,基础,免疫治疗,临床,血液,研究"
150,杨敏,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"疾病,骨髓,恶性,多发性,骨髓瘤,擅长,血液,淋巴瘤"
151,赵毅,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"诊断,血液,骨髓,淋巴瘤,相关,贫血,恶性,急性"
152,周德,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"血液,系统疾病,淋巴瘤,疾病,感染,重症,诊治,擅长"
153,韩晓雁,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"多发性,减少,骨髓瘤,血细胞,淋巴瘤,白血病,擅长,诊治"
154,胡永仙,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"免疫治疗,血液病,造血,恶性,干细胞,移植,细胞,诊治"
155,朱园园,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"移植,恶性,疾病,干细胞,造血,白血病,淋巴瘤,化疗"
156,杨春梅,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"血液,精准,诊治,肿瘤,恶性肿瘤,疑难,血液病,系统"
157,许改香,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"白血病,血小板,免疫性,血液,纤维化,疾病,多发性,真性"
158,主鸿鹄,男,主任医师,浙江大学医学院附属第一医院,内科,血液病科,"恶性,个体化,血液,疾病,白血病,诊疗"
159,吴文俊,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"骨髓瘤,多发性,为主,血液,恶性,淋巴瘤,急,白血病"
160,钱劼靖,女,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"多发性,干细胞,骨髓瘤,诊治,疑难病,淋巴瘤,移植"
161,刘辉,男,副主任医师,浙江大学医学院附属第一医院,内科,血液病科,"恶性,疾病,血液,为主,淋巴瘤,系统,诊治,擅长"
162,钱文斌,男,主任医师,浙江大学医学院附属第一医院,内科,血液病、淋巴瘤,"mds,临床,肿瘤,基础,淋巴瘤,新疗法,危,治疗"
163,俞文娟,女,主任医师,浙江大学医学院附属第一医院,内科,血液病、淋巴瘤,"白血病,血小板,免疫性,贫血,纤维化,多发性,真性,淋巴瘤"
164,黄河,男,主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"学,基础,造血,临床,干细胞,移植,血液病,研究"
165,施继敏,女,主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"造血,干细胞,血液学,移植"
166,谭亚敏,女,副主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"疾病,造血,血液,干细胞,移植,恶性,诊治,擅长"
167,罗依,女,主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"系统,干细胞,恶性,造血,疾病,血液,移植"
168,余建,男,副主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"血液,疾病,干细胞,诊治,造血,擅长,系统,恶性"
169,赵妍敏,女,副主任医师,浙江大学医学院附属第一医院,内科,血液骨髓移植,"血液,并发症,恶性肿瘤,术后,诊断,技术,治疗,移植"
170,祁鸣,男,主任医师,浙江大学医学院附属第一医院,内科,遗传与基因组医学,"遗传性,神经,心脏病,离子通道,疾病,先天性,肌肉"
171,徐加鹤,男,主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"直肠,基础,肛门,临床,外科,结,研究"
172,田洪裕,女,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"直肠,基础,肛门,临床,外科,结,研究"
173,刘凡隆,男,主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"开展,肛门,直肠癌,应用,微创,动脉,镜检查,保肛"
174,徐向明,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"术后,结,手术,肠,结肠,镜检查,处理,镜下"
175,林建江,男,主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"直肠,基础,肛门,临床,外科,结,研究"
176,叶锋,男,主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"直肠,基础,肛门,临床,外科,结,研究"
177,陈文斌,男,主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"直肠,基础,肛门,临床,外科,结,研究"
178,林才照,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"治疗,腹腔镜,重度,镜检查,手术,混合,肠,结"
179,王金海,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"疾病,手术,炎症性,结,肠病,腹腔镜,外科手术,痔"
180,李炎冬,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"疾病,肠病,外科,直肠癌,克隆,结肠炎,肛门,氏病"
181,周喜乐,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"疾病,结,内镜,治疗,肛门,微创,部痔,肛瘘"
182,华汉巨,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"手术,直肠癌,吻合,低位,治疗,摘除术,肛周,首创"
183,陈栋,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"疾病,结,肿瘤,直肠,治疗,微创,腹腔镜,病变"
184,盛勤松,男,副主任医师,浙江大学医学院附属第一医院,外科,肛肠外科,"结,治疗,诊治,镜检查,肠,疾病,良性,肛周"
185,蒋天安,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰超声诊治,"超声,检查,诊断,腹部,造影,项目,体表,浅表"
186,孙军辉,男,副主任医师,浙江大学医学院附属第一医院,外科,肝胆胰介入放射诊治,"术,胆道,栓塞,支架,化疗,介入,门静脉,置入"
187,楼石济,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"外科,常见疾病,肝胆胰,疑难杂症"
188,蒋江营,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"脾,外科,疾病,疑难杂症,诊断,普外科,治疗,肝胆胰"
189,柯庆宏,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"肝胆胰,腹腔镜,脾良,治疗,恶性肿瘤,诊断,结石,胆道"
190,张文瑾,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"肿瘤,胆囊,胆囊癌,手术,胰腺,腹腔镜,根治,切除术"
191,俞军,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"肿瘤,诊断,治疗,门脉,胰腺炎,胆石症,胰腺,疾病"
192,秦运升,男,副主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"疾病,外科手术,ercp,诊治,腹腔镜,肝胆胰,治疗"
193,蒋智军,男,主任医师,浙江大学医学院附属第一医院,外科,肝胆胰外科,"擅长,治疗,手术,胆管,微创,门脉,内分泌,疾病"
